,Rating,Industry,Sector,Ownership,Bil_Mil,Company,Company_Age,State,Git_job,Python_job,C_job,SQL_job,Job,Rank,Avg_Sal
0,3.5,Computer Hardware & Software,Information Technology,Private,0,Derive Systems,13,FL,0,0,1,1,Software Engineer,Intermediate,63.5
1,3.6,Enterprise Software & Network Solutions,Information Technology,Public,1,"Alteryx, Inc.",23,CO,1,0,1,0,Software Engineer,Intermediate,84.0
2,3.9,Lending,Finance,Private,2,Quicken Loans,35,MI,0,0,1,0,Software Engineer,Senior,74.0
3,4.2,Research & Development,Business Services,Public,2,ManTech International Corporation,52,MD,0,1,1,0,Software Engineer,Senior,106.0
4,3.6,Enterprise Software & Network Solutions,Information Technology,Private,1,Docuware Corporation,32,NY,1,0,0,1,Service Engineer,Intermediate,54.5
5,2.6,Computer Hardware & Software,Information Technology,Private,1,Relias,8,NC,0,0,1,1,Software Engineer,Senior,86.5
6,3.8,Aerospace & Defense,Aerospace & Defense,Private,1,TMA,27,CO,1,0,0,0,Software Engineer,Junior,61.5
7,2.9,Wholesale,Business Services,Private,0,Trademark Global LLC,20,OH,1,0,1,1,N/A,Senior,61.0
8,3.6,Computer Hardware & Software,Information Technology,Private,2,Refinitiv,2,MO,1,0,1,1,Software Engineer,Senior,67.0
9,3.6,K-12 Education,Education,Private,0,Edgenuity,22,AZ,1,0,1,1,Software Engineer,Senior,109.5
10,3.9,Electrical & Electronic Manufacturing,Manufacturing,Private,1,DC Group,28,MN,0,0,0,0,Service Engineer,Intermediate,54.5
11,4.4,Banks & Credit Unions,Finance,Private,0,ClearOne Advantage,12,MD,1,1,1,1,Software Engineer,Senior,75.5
12,3.6,Wholesale,Business Services,Private,0,Uline,40,WI,0,0,0,1,Software Developer,Intermediate,82.5
13,3.7,"Hotels, Motels, & Resorts",Travel & Tourism,Public,2,Choice Hotels,81,AZ,0,0,0,0,Software Engineer,Intermediate,138.0
14,3.8,Insurance Carriers,Insurance,Private,1,Seven Corners,27,IN,0,0,1,1,Software Engineer,Intermediate,86.0
15,4.3,Lending,Finance,Private,1,Veterans First Mortgage,35,UT,0,0,0,0,Software Engineer,Intermediate,67.5
16,3.5,Aerospace & Defense,Aerospace & Defense,Public,2,L3Harris Technologies,1,UT,0,0,1,0,Software Engineer,Intermediate,71.5
17,3.3,Home Furniture & Housewares Stores,Retail,Subsidiary or Business Segment,2,Nebraska Furniture Mart,83,NE,1,0,0,1,Software Engineer,Intermediate,58.5
18,4.2,Building & Personnel Services,Business Services,Private,0,RoadRunner Recycling,6,PA,0,0,0,0,Software Engineer,Intermediate,64.5
19,4.4,Aerospace & Defense,Aerospace & Defense,Private,1,Testek Solutions,51,MI,0,0,0,0,Software Engineer,Intermediate,72.0
