Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Software Engineer,$41K-$88K (Glassdoor Est.),"Pittsburgh, PA, USA
Full Time

Email Me This Job

THE GIG


RoadRunner is looking to hire a well-rounded and ambitious full-stack engineer to join our team!

We currently manage Recycling and Waste Management in multiple markets and are looking to grow our operation and technology this year. RoadRunner is planning to change the way people recycle while introducing tech into the industry that has never been done. We operate with many moving parts and there is no shortage of areas to improve on with excellent engineering.

We are looking for a grounded, ambitious, and detail-oriented software developer. Solid computer science fundamentals is required as well as an openness to use different technologies. Exposure to full-stack web development is a requirement for this position as well as experience with at least one popular front-end framework.

The main objective of this position is to build the foundation for RoadRunner's customer-facing applications. For the past two years, we have centered our technology around the core internal operations of the business. However, as we grow into more markets and productize our services, we will need to build a suite of applications for our clients.

RoadRunner is looking to provide a top-notch customer experience and the technology to back it up. You will work alongside a variety of disciplines including sales, design, and operations to develop high quality products. You will gain valuable system level experience as you integrate your work with our current technology and have the opportunity to develop brand new green-field projects.

Not only is this a great opportunity to help us grow our tech stack, but you'll also learn a lot about the Recycling and Waste Management industry and have the opportunity to be part of a growing startup.


REQUIREMENTS
Exposure to full-stack web development
Experience with at least one popular front-end framework

PERKS & BENEFITS
Full benefits package including health, dental, and vision insurance
401k
Commuter Benefits
Paid company holidays.
Company events, annual off-site retreat, happy hours, and other social events.
15 Paid Time Off days per year + 2 personal floating holidays
Outstanding company culture.
RoadRunner Recycling is an affirmative action and equal opportunity employer and is committed to the full inclusion of all qualified individuals. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information. It is the policy of RoadRunner Recycling that qualified individuals with disabilities not be discriminated against because of their disabilities in regard to job application procedures, hiring, and other terms and conditions of employment. It is further the policy of RoadRunner Recycling to provide reasonable accommodations to qualified individuals with disabilities in all aspects of the employment process. RoadRunner Recycling is prepared to modify or adjust the job application process or the job or work environment to make reasonable accommodations to the known physical or mental limitations of the applicant or employee to enable the applicant or employee to be considered for the position he or she desires, to perform the essential functions of the position in question, or to enjoy equal benefits and privileges of employment as are enjoyed by other similarly situated employees without disabilities, unless the accommodation will impose an undue hardship. To request reasonable accommodation, please contact our Human Resources department at RoadRunner Recycling, at HR@roadrunnerwm.com.

RoadRunner Recycling Inc.
https://roadrunnerwm.isolvedhire.com",4.2,"RoadRunner Recycling
4.2","Pittsburgh, PA",-1,51 to 200 Employees,2014,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1
Software Engineer,-1,"At SoftWear Automation, we are working to fundamentally change the way people make and buy textiles in a way that hasn’t happened since the industrial revolution. Leveraging our founder’s key insight in computer vision, we are combining robotics, computer vision, and some clever and custom software to automate textile and clothing manufacturing.

We are looking for software engineers to build out our design-to-product CAD software pipeline as well as help us write robot control code. You must absolutely be able to handle a variety of languages and problems and move quickly. For our current problems, C++ or Python and strong math skills are required. Background in modern web technologies is strongly preferred.

You must be an engineer with experience on a tangible product, not just websites.

Duties and Responsibilities:
Work on design-to-product pipeline
Develop low-level robot control code
Design and develop systems-level software/firmware
Technical Skills:
Good C and C++ programming skills
Strong algorithm and math skills required
ROS experience
QT experience a plus
Feedback/control and signal processing skills a plus
Image processing experience a plus
Linux background a plus
Microcontroller/real-time experience a plus
Education and Experience:

Due to overwhelming growth we have multiple openings at both a mid level as well as at a senior level; our entry-level team is well staffed.

Minimum experience:
BS in Computer Science or Electrical Engineering with embedded experience plus 3+ years of relevant experience, (or)
Master’s degree in Electrical Engineering or Computer Science plus 2 years of relevant experience.
This is a $100B industry, and we are growing rapidly and hungry for new talent. If you’re a kick-ass problem solver looking for a new challenge working with a top notch team, send your resume.",4.8,"SoftWear Automation
4.8","Austell, GA",-1,51 to 200 Employees,2015,Company - Private,Industrial Manufacturing,Manufacturing,Less than $1 million (USD),-1
Full-Stack Software Engineer (Integrations/API),-1,"Articulate is looking for a Full-Stack Software Engineer. We’re makers. We believe the job of a development team is more than just writing code. We are here to create experiences which delight our customers—that is always our top priority.

We’re a fully distributed company with a high degree of autonomy and no office space. At Articulate, you’ll work closely with an awesome team of developers and designers to build industry-leading products and solve interesting problems.

The ideal person for this job is a multitalented Full-Stack Software Engineer with a good eye. This person sweats the details, focuses on quality results instead of effort, and sees problems as opportunities to learn and level up as a team. Solid GIF skills and emojis game are big bonuses. While we’re looking for a full-stack engineer, this particular position will have more of a backend focus.

Here’s a smattering of the tech you’ll be working with: Node.js, React, JavaScript/TypeScript, (S)CSS, AWS, GitHub, and Slack. Functional programming experience or experience integrating large 3rd party platforms a plus.
About Articulate

Articulate is a highly successful, fully remote software company that’s changing the way the world learns. Our award-winning e-learning tools are used by 98,000+ organizations across the globe to create engaging online and mobile courses. Our customers include 93 of the Fortune 100 and 19 of the top 20 U.S. universities. And our online community of 865,000+ members is the largest, fastest-growing community in the industry.
We empower employees to thrive by fostering a culture of autonomy, productivity, and respect. We’re all free to exercise our crafts the best way we know how to reach our goals as individuals and teams. Each and every one of us is focused on producing results that directly impact the company’s success. And we all strive to do what’s right by people, both internally and externally, instead of taking the shortest route to the highest profits.
We honor people’s humanity in all of our disparate experiences and social locations, accepting each person as an individual with a story worth listening to and honoring. We believe that honoring everyone’s humanity means being committed to equity and justice. We welcome different voices and viewpoints and do not discriminate on the basis of race, religion, color, national origin, ancestry, physical and/or mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, transgender status, age, sexual orientation, and military or veteran status, or any other basis protected by law. We are an equal opportunity employer and invite applicants to voluntarily disclose their race and gender on our application form to help us create a diverse company. This voluntarily disclosed information will not be shared with any hiring manager and will be kept in confidence by the Articulate human resources department and executives who are not hiring for this position.

Learn more about our culture.",4.2,"Articulate inc.
4.2",United States,-1,51 to 200 Employees,2002,Company - Private,Internet,Information Technology,$50 to $100 million (USD),-1
Software Engineer,-1,"JOB DESCRIPTION: *
Elkins Earthworks, LLC is looking for an experienced Software Engineer to join our team. Among other projects, the candidate will focus on maintaining and adding features to our current Windows Desktop application that is focused on analyzing landfill gas concentrations.
RESPONSIBILITIES: *
• Research, test, build and integrate enhancements in new and existing products based on client requirements while adhering to configuration management (CM) policies.

• Clearly communicate the progress, define deliverables, and help set goals for projects.

• Constantly looking to stay current on industry trends.

• Assist in the creation of technical documentation and user guides in support of developed software.

• Analyze technology/capability gaps, research, develop, and deploy software solutions.

• Collaborate with other developers to design and optimize code.
QUALIFICATIONS: *
• Degree in computer science, electrical engineering or related field. A strong background in several of the relevant areas listed below can substitute for an advanced degree.

• Strong technical knowledge, with hands-on experience of industry-standard tools and languages o Tools: Visual Studio (Required), Winforms (Required), WPF (Required)
Labview, Nuvo Framework, UWP, WinUL a plus o Languages: C# (Required)
C++, Visual Basic, JavaScript a plus
• Experience with front-end GUI development, Python, Java, Ruby, C, SQL, PHP and web development a plus.

• Ability to multitask and prioritize several projects at once.

• Managerial experience, including the ability to manage a small team of engineers, contractors and consultants.
BENEFITS: *
Elkins Earthworks offers a competitive compensation plan and a comprehensive benefits program. The benefits program includes healthcare, matching 401(k), life insurance, and paid time off.

Elkins Earthworks is an Equal Opportunity employer and considers applications for all positions without regard to race, color, sex, religion, national origin, sexual orientation, gender identity, age, veteran status, disability or any other group protected by Federal or State law or ordinance. People with disabilities who may need accommodation to apply and compete for a position with Elkins Earthworks may request such accommodation(s) by contacting Human Resources

Job Type: Full-time

Schedule: Monday to Friday

Salary: $50,000 - $80,000 annually

Job Type: Full-time

Pay: $50,000.00 - $80,000.00 per year

Benefits:
401(k)
401(k) matching
Health insurance
Life insurance
Paid time off
Professional development assistance
Schedule:
8 hour shift
Experience:
Software Development: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Work authorization:
United States (Preferred)
Work Location:
One location
Company's website:
https://elkinsearthworks.com/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,Elkins Earthworks,"Wadsworth, OH",-1,-1,-1,-1,-1,-1,-1,-1
Junior Software Engineer,$38K-$85K (Glassdoor Est.),"Are you looking for a new challenge? Do you enjoy supporting the Intel Community? Join TMA to help protect the security of our nation.

TMA is seeking Junior Software Engineers in the Chantilly, VA area. Join our team of overachievers supporting the Intel Community to help protect the security of our nation, specifically in the realm of space protection. Learn from Subject Matter Experts in an interesting product domain. Work on a team of exceptional software engineers with low turnover. We use agile methodologies to coordinate our five scrum teams, keeping what works and changing what doesn't. Candidates should be innovative, passionate and ready for a challenge. Candidates will participate in all aspects of lifecycle application development including technical exchange meetings, whitepapers, design, code, test, debug, configuration management, and production support for Java applications.

Required Qualifications:

· Candidates must have proficient Java experience

· BS in Computer Science, Computer Engineering, or related technical degree

· Candidates must possess excellent communication skills and be able to work in a dynamic team environment developing solutions from both written and spoken requirements

· Must be willing to be submitted for a TS/SCI security clearance with CI polygraph

Desired Qualifications and Experience:

· 1-3 years of JavaScript and Web Development

· Experience with front end technologies such as Angular, Jasmine, HTML5, CSS, SCSS, JavaScript, jQuery

· Experience with Node.js and NPM

· Experience with system monitoring technologies such as Munin, Nagios, Elastic Stack (ELK - Elasticsearch, Logstash, Kibana, and Beats)

· Knowledge of relational database fundamentals

· Familiarity with Git

· Experience with Java development tools such as VS Code, Eclipse IDE, and Maven

· Experience with continuous integration technologies such as Jenkins or Bamboo

· Experience with Jira

· Knowledge of Agile development process

· Strong background in math, science, and/or aerospace

· Understanding of geospatial concepts

· Security+ certification

WHO WE ARE
Headquartered in Chantilly, VA and founded in 1993, TMA is a leading services and solutions provider to the Department of Defense and the Intelligence Community.

Our Mission:
We live in a world of infinite problems. We provide rapid supportable solutions engineered to meet mission objectives and proceed to the next challenge.
We collaborate with our customers. Our innovative engineers hunt for the best mission solution without requiring ownership of the answer. Our commitment to the customer is unassailable
We’re at war with proprietary solutions that narrow our customers’ options and stunt progress. Our solutions ensure the community can leverage, extend, and integrate next generation capabilities delivering sustained relevancy.
We believe in a work hard/play hard culture. Our empowered employees solve complex problems every day wearing blue jeans and polos, because the only thing that matters is getting the right answer for the mission.
We are making the world a better place.
Our capabilities include:
National Tactical Integration, Mission Building and Analysis, Digital Signal Processing, System Integration, Network Engineering, Big Data Analytics, Secure Cloud, and Edge Computing.

Specific areas of expertise include: Software Development, DSP& Exploitation, Network Engineering, and Mission Critical Support Operations.TMA was named as one of the 2019 Best Places to Work in Virginia and is a back-to-back winner of Washingtonian Magazine’s 50 Great Places to Work, as well as a 2017 winner of Washington Post Top workplaces in the DC area.

TMA is committed to the welfare and success of our employees; we strive to ensure that our culture, work products, and partnerships represent our Core Values of: Innovation, Collaboration, Integrity, and Commitment. Come grow with us. Learn more at http://tmamission.com/

TMA is an Equal Opportunity/Affirmative Action Employer committed to employing and retaining a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with a disability. US Citizenship is required as this position requires candidate to obtain and/or maintain a government security clearance.

EEO Employer Minority/Female/Disabled/Protected Veteran.",3.8,"TMA
3.8","Colorado Springs, CO",-1,51 to 200 Employees,1993,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1
Field Service Engineer,$39K-$70K (Glassdoor Est.),"DC Group is the nation's largest independent service provider of critical power maintenance to data centers, telecommunications, hospitals and all other companies that require uninterruptible power for their business to operate.

We provide nationwide maintenance on all makes and models of the various components of your critical power system such as:
Uninterruptible Power Supplies (UPS): Liebert, Powerware, MGE, Toshiba, Mitsubishi
DC Plants (Rectifiers): Lorain, Peco, Tyco
Power-Distribution Unit (PDU): Liebert, PDI, United Power
DC Group is a proven leader in the critical power maintenance field for the last Forty (40) years. We have proven our abilities by serving more Fortune 500 companies than any other independent critical power maintenance company.

We Pride ourselves in specializing in critical power maintenance since 1969, in which we have the infrastructure and expertise to keep your power uninterrupted.

Field Service Engineer - UPS Systems:

Primary function of the Service Engineer is to analyze, test and troubleshoot complex problems related to uninterruptible power systems (UPS)
Install, update, manage and maintain software on UPS systems.
Diagnose and effect repairs to the UPS systems.
Provide technical support, problem diagnosis and resolution.
Strong communication and interpersonal skills with ability to be flexible to adjust to changing filed conditions.
Required Qualifications: Bachelor's Degree in Electrical or Electronics Engineering, or technically related field.

Experience in reputed UPS manufacturer like Liebert, Powerware, MGE, APC, Chloride, Mitsubishi, Toshiba will be an added advantage.

Benefits:

DC Group will provide in-house and field Training.
Relocation expenses will be reimbursed.
Full benefits
Paid Vacations
Competitive Salary plus overtime available
Company Vehicle Program through Enterprise Fleet Services
Career in Stable and growing field.

DC Group provides an excellent salary, full benefits package, 7 paid holidays, and paid time off (PTO). Benefits package includes: medical/dental/vision plans, Health Savings Account, company paid employee STD/LTD/Life/AD&D, supplemental plans (Critical Illness, Accident, Life/AD&D, Whole Life), and 401(k) plan with employer match.
MON*
This company does not discriminate in employment or the provision of service on the basis of race, color, religion, creed, age, sex, national origin, ancestry, marital status, pregnancy, familial status, disability (including those related to pregnancy or childbirth), membership or non-membership in a labor organization, sexual orientation, status with regard to public assistance, genetic information, complaining in good faith to the Company or a public authority, or any other characteristic protected under local, state, or federal statute, ordinance, or regulation.
XJ6",3.9,"DC Group
3.9","Minneapolis, MN",-1,51 to 200 Employees,1992,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Senior Software Engineer,$47K-$101K (Glassdoor Est.),"Minimum Qualifications

Bachelor’s degree in computer science, information technology, or a related field or equivalent experience

Preferred Qualifications

3 years of experience in programming in Angular, Cocoa, Objective C, C#, HTML, .NET, PHP, Java, Progress or other programming languages
3 years of experience in software testing and design
3 years of experience in database management as it relates to software development
Proficiency in the Microsoft Office suite

Job Summary

The Senior Software Engineer uses various programming languages to develop, improve, test and/or maintain software that meets user needs. They mentor other software engineers, lead small development teams and act as an application owner. The Senior Software Engineer takes a lead role in design and code reviews, assists with delivery estimates and provides feedback about all aspects of the process.

Responsibilities

Design, develop or modify software and/or software systems by using various programming languages depending on the product and also taking the service architecture into consideration
Modify existing software to fix errors, improve the overall quality and functionality, or update integrations with other software
Analyze user needs to determine how software should be built or if existing software should be modified
Develop and/or perform software automated testing procedures, solutions and frameworks to ensure software functions as needed
Translate business requirements and specifications into usable and scalable software
Process and understand capabilities and limitations of data outputs from the software
Understand and assist with the technical infrastructure of an application or system
Troubleshoot performance issues
Lead design and code reviews
Lead delivery estimates
Determine and execute the software deployment process
Anticipate and communicate blockers, delays and cost ballooning within the team’s projects before they require escalation
Ensure expectations with the team and external stakeholders are clarified between all parties involved
Mentor other software engineers
Look for security vulnerabilities in coding
Participate in discussions about the team’s future vision and strategy

Who We Are

We're America's largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans ""Highest in Customer Satisfaction in Primary Mortgage Origination"" for the past 10 consecutive years, 2010 - 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 6 consecutive years, 2014 through 2019, each year the company was eligible. There's a simple reason we've been so successful: We care about the people we work with.

If you're tired of stuffy, bureaucratic workplaces, then you'll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won't find anywhere else. Quicken Loans was named #1 in ESSENCE Magazine's first ever list of ""Best Places to Work for African Americans"" in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last 5 years. We were also ranked #14 in FORTUNE Magazine's list of ""100 Best Companies to Work For"" in 2018, remaining in the top 30 for the past 15 years.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.9,"Quicken Loans
3.9","Detroit, MI",-1,10000+ Employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),-1
Software Engineer,$55K-$113K (Glassdoor Est.),"Alteryx is searching for a S oftware Engineer in our Broomfield (Denver), CO office.

About Us:

Alteryx, Inc. is the leader in self-service data analytics. Alteryx Analytics provides analysts the unique ability to easily prep, blend, and analyze all their data using a repeatable workflow, then deploy and share analytics at scale for deeper insights in hours, not weeks. Analysts love the Alteryx Analytics platform because they can connect to and cleanse data from data warehouses, cloud applications, spreadsheets, and other sources, easily join this data together, then perform analytics – predictive, statistical, and spatial – using the same intuitive user interface, without writing any code. Thousands of companies and data analysts worldwide rely on Alteryx daily.

Overview:

We are looking for a Software Engineer to help us build the next version of our core data processing Engine to scale in the cloud.

This is a greenfield project where you’ll be a core contributor from the ground up. We’re looking for engineers that are motivated self-starters that can work a feature from start to finish. The tech stack for this project is Go, GRPC, C++, Docker and Kubernetes.

The right fit is a strong team player that has a proven track record of delivering alongside other engineers. You should be highly motivated to learn new tools and technologies.

Responsibilities

Core engineering contributor to the project.
Participate in an agile engineering environment.
Participate in code reviews, ensuring our delivery of clean, well-tested, and performant software.
Have a quality first mindset – building quality into the product from the start.

Required Qualifications

2+ years of experience in an engineering position
Knowledge of and experience with object oriented and functional design patterns.
Strong skills in critical thinking, decision making, problem solving, and attention to detail.
Experience using Git and Git-based pipelines.

Preferred Qualifications

Experience with compiled language (Go, C++, Java)
Exposure & knowledge of Node.JS and RESTful API web services.
Docker, Kubernetes, deploying applications at scale.
Experience working on high-performance distributed systems.
Knowledge of concurrency and messaging in a high-performance distributed architecture
Knowledge of systems design and development preferably leveraging open source and open standards.
Understanding and commitment to modern software engineering principles/processes (Agile, Lean, DevOps) and continuous improvement through measurement

Interested? Learn more and apply today at alteryx.com/careers !

Alteryx is an equal opportunity employer. Please let your recruiter or coordinator know if you need an accommodation during the interview.

Alteryx will not provide sponsorship for work visas or other employment authorization for this position.

#LI-CP1",3.6,"Alteryx, Inc.
3.6","Broomfield, CO",-1,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
"Software Engineer, Full-Stack",-1,"We're looking for full stack web developer to help create a new web application that enables security analysts to understand their external network perimeter. We perform billions of network handshakes and DNS lookups per hour as well as consume external data feeds to maintain an up-to-date view of all hosts and networks on the Internet. You will help build the application and APIs that enable researchers and analysts to explore and draw security insight from this data. This spans building APIs and services on top of backend database like Elasticsearch, BigTable, and Spanner to working with frontend designers and developers to write Javascript code. You will be joining a small, energetic team in Ann Arbor, MI.

The types of things you'll do:

Develop customer-facing web apps in Node.js, Python, TypeScript/JavaScript, HTML, and CSS
Partner with product and design teams to build and launch new products
Collaborate with the data engineering team to translate Censys data into customer facing features
Design automated solutions for building, testing, monitoring, and deploying applications in a continuous integration environment.
Solve problems across multiple codebases and technologies
Desired Qualifications
Bachelor's degree in Computer Science or related field, or equivalent experience
3+ years of industry experience building web applications in HTML5, CSS, and Javascript Frameworks (e.g., Angular, React, Vue)
Experience with backend web frameworks (e.g., Rails, Django, Pyramid)
Experience with object- oriented languages (e.g., Python, Ruby, or Java)
Familiarity with SQL (e.g., PostgreSQL) or NoSQL stores (e.g., Cassandra)
We value diversity and are committed to creating an inclusive environment for all employees. Censys is an equal opportunity employer.",5.0,"Censys
5.0",Remote,-1,1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Principal Software Engineer,$70K-$142K (Glassdoor Est.),"Secure our Nation, Ignite your Future

Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented CNO Developer to join our team in the Hanover , MD .
Responsibility include, but are not limited too:
Expert knowledge of multiple programming languages such as C/C++, assembly (e.g. x86, ARM, MIPS), Python, or PERL.
Familiar with multiple software development methodologies (e.g. Scrum, TDD, Waterfall).
Expert level knowledge of security concepts, networks, device drivers, & system internals are applied in daily tasks.
Expert knowledge in at least one technology area (e.g. Windows, Unix, Mobile, Network devices).
Communicates status with leadership and customers. Contributes to the completion of milestones associated with specific projects.
Provides solutions to a variety of complex technical problems.
Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming.
Ensures software standards are met. Leads the design, development, documenting, testing and debugging of applications software and systems that contain logical and mathematical solutions.
Able to lead a project developing hardware or software based CNO capabilities providing direction to other CNO developers.
Plans and conducts assignments, generally involving the larger and more important projects or more than one project.

Required:

Seven to nine years of relevant work experience.
Proficient C programming skills
Software Analysis/Reverse Engineering experience
Embedded systems development experience
Understand assembly programming concepts
Bachelors Degree

Clearance Required:

TS/SCI with Polygraph

Desired:

Experience working with networking (TCP/IP)
Python experience
Unit Test experience
Experience using Jenkins Continuous Integration Server

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech International Corporation
4.2","Hanover, MD",-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
