Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Ownership,Bil_Mil,Min_Sal,Max_Sal,Avg_Sal,Company,Company_Age,State,Git_job,Python_job,C_job,SQL_job
Software Engineer,$40K-$87K (Glassdoor Est.),"We are seeking a self-motivated and enthusiastic Software Engineer to join our Enthusiast Software team. You will create innovative solutions to deliver vehicle calibration and datalogging software as well as internal tools to our customers and fellow engineers. You'll be responsible for a wide variety of tasks including design, implementation and operation of desktop applications and scalable backend services.

Responsibilities:
Enable our product team to tap into valuable data sources and build incredible features for our customers
Actively participate in all projects and work together to build high-quality solutions
Collaborate with other teams to create shared understanding of interface contracts
Provide constructive feedback on pull requests to increase code quality
Present ideas in the form of brown bags to all engineers to help shape our technical landscape
Qualifications:
5+ years experience with .NET/C# or equivalent tech stack
Experience building high-quality desktop applications (WPF and Windows Forms preferred, custom control experience a bonus)
Experience with relational and NoSQL databases
Experience deploying and maintaining applications in a public cloud, including automated build/release and DevOps
Experience with REST, RPC, JSON, gRPC, GraphQL and other typical service interfaces/paradigms
Experience with Agile development methodologies
Azure experience is a bonus",3.5,"Derive Systems
3.5","Sanford, FL",51 to 200 Employees,2007,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Private,0,40,87,63.5,Derive Systems,13,FL,0,0,1,1
Software Engineer,$55K-$113K (Glassdoor Est.),"Alteryx is searching for a S oftware Engineer in our Broomfield (Denver), CO office.

About Us:

Alteryx, Inc. is the leader in self-service data analytics. Alteryx Analytics provides analysts the unique ability to easily prep, blend, and analyze all their data using a repeatable workflow, then deploy and share analytics at scale for deeper insights in hours, not weeks. Analysts love the Alteryx Analytics platform because they can connect to and cleanse data from data warehouses, cloud applications, spreadsheets, and other sources, easily join this data together, then perform analytics – predictive, statistical, and spatial – using the same intuitive user interface, without writing any code. Thousands of companies and data analysts worldwide rely on Alteryx daily.

Overview:

We are looking for a Software Engineer to help us build the next version of our core data processing Engine to scale in the cloud.

This is a greenfield project where you’ll be a core contributor from the ground up. We’re looking for engineers that are motivated self-starters that can work a feature from start to finish. The tech stack for this project is Go, GRPC, C++, Docker and Kubernetes.

The right fit is a strong team player that has a proven track record of delivering alongside other engineers. You should be highly motivated to learn new tools and technologies.

Responsibilities

Core engineering contributor to the project.
Participate in an agile engineering environment.
Participate in code reviews, ensuring our delivery of clean, well-tested, and performant software.
Have a quality first mindset – building quality into the product from the start.

Required Qualifications

2+ years of experience in an engineering position
Knowledge of and experience with object oriented and functional design patterns.
Strong skills in critical thinking, decision making, problem solving, and attention to detail.
Experience using Git and Git-based pipelines.

Preferred Qualifications

Experience with compiled language (Go, C++, Java)
Exposure & knowledge of Node.JS and RESTful API web services.
Docker, Kubernetes, deploying applications at scale.
Experience working on high-performance distributed systems.
Knowledge of concurrency and messaging in a high-performance distributed architecture
Knowledge of systems design and development preferably leveraging open source and open standards.
Understanding and commitment to modern software engineering principles/processes (Agile, Lean, DevOps) and continuous improvement through measurement

Interested? Learn more and apply today at alteryx.com/careers !

Alteryx is an equal opportunity employer. Please let your recruiter or coordinator know if you need an accommodation during the interview.

Alteryx will not provide sponsorship for work visas or other employment authorization for this position.

#LI-CP1",3.6,"Alteryx, Inc.
3.6","Broomfield, CO",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),Public,1,55,113,84.0,"Alteryx, Inc.",23,CO,1,0,1,0
Senior Software Engineer,$47K-$101K (Glassdoor Est.),"Minimum Qualifications

Bachelor’s degree in computer science, information technology, or a related field or equivalent experience

Preferred Qualifications

3 years of experience in programming in Angular, Cocoa, Objective C, C#, HTML, .NET, PHP, Java, Progress or other programming languages
3 years of experience in software testing and design
3 years of experience in database management as it relates to software development
Proficiency in the Microsoft Office suite

Job Summary

The Senior Software Engineer uses various programming languages to develop, improve, test and/or maintain software that meets user needs. They mentor other software engineers, lead small development teams and act as an application owner. The Senior Software Engineer takes a lead role in design and code reviews, assists with delivery estimates and provides feedback about all aspects of the process.

Responsibilities

Design, develop or modify software and/or software systems by using various programming languages depending on the product and also taking the service architecture into consideration
Modify existing software to fix errors, improve the overall quality and functionality, or update integrations with other software
Analyze user needs to determine how software should be built or if existing software should be modified
Develop and/or perform software automated testing procedures, solutions and frameworks to ensure software functions as needed
Translate business requirements and specifications into usable and scalable software
Process and understand capabilities and limitations of data outputs from the software
Understand and assist with the technical infrastructure of an application or system
Troubleshoot performance issues
Lead design and code reviews
Lead delivery estimates
Determine and execute the software deployment process
Anticipate and communicate blockers, delays and cost ballooning within the team’s projects before they require escalation
Ensure expectations with the team and external stakeholders are clarified between all parties involved
Mentor other software engineers
Look for security vulnerabilities in coding
Participate in discussions about the team’s future vision and strategy

Who We Are

We're America's largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans ""Highest in Customer Satisfaction in Primary Mortgage Origination"" for the past 10 consecutive years, 2010 - 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 6 consecutive years, 2014 through 2019, each year the company was eligible. There's a simple reason we've been so successful: We care about the people we work with.

If you're tired of stuffy, bureaucratic workplaces, then you'll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won't find anywhere else. Quicken Loans was named #1 in ESSENCE Magazine's first ever list of ""Best Places to Work for African Americans"" in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last 5 years. We were also ranked #14 in FORTUNE Magazine's list of ""100 Best Companies to Work For"" in 2018, remaining in the top 30 for the past 15 years.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.9,"Quicken Loans
3.9","Detroit, MI",10000+ Employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),Private,2,47,101,74.0,Quicken Loans,35,MI,0,0,1,0
Principal Software Engineer,$70K-$142K (Glassdoor Est.),"Secure our Nation, Ignite your Future

Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented CNO Developer to join our team in the Hanover , MD .
Responsibility include, but are not limited too:
Expert knowledge of multiple programming languages such as C/C++, assembly (e.g. x86, ARM, MIPS), Python, or PERL.
Familiar with multiple software development methodologies (e.g. Scrum, TDD, Waterfall).
Expert level knowledge of security concepts, networks, device drivers, & system internals are applied in daily tasks.
Expert knowledge in at least one technology area (e.g. Windows, Unix, Mobile, Network devices).
Communicates status with leadership and customers. Contributes to the completion of milestones associated with specific projects.
Provides solutions to a variety of complex technical problems.
Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming.
Ensures software standards are met. Leads the design, development, documenting, testing and debugging of applications software and systems that contain logical and mathematical solutions.
Able to lead a project developing hardware or software based CNO capabilities providing direction to other CNO developers.
Plans and conducts assignments, generally involving the larger and more important projects or more than one project.

Required:

Seven to nine years of relevant work experience.
Proficient C programming skills
Software Analysis/Reverse Engineering experience
Embedded systems development experience
Understand assembly programming concepts
Bachelors Degree

Clearance Required:

TS/SCI with Polygraph

Desired:

Experience working with networking (TCP/IP)
Python experience
Unit Test experience
Experience using Jenkins Continuous Integration Server

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech International Corporation
4.2","Hanover, MD",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),Public,2,70,142,106.0,ManTech International Corporation,52,MD,0,1,1,0
Professional Services Engineer,$37K-$72K (Glassdoor Est.),"Job Summary
The Professional Services Engineer will support our customer and channel partners for DocuWare Corporation in the planning and implementation of DocuWare’s document management products. This role will perform software implementations, business process analysis, and needs assessments.
Your tasks
Perform complex assessments of customer and/or partner needs.
Create detailed documentation for implementations, guides, and training.
Installation and configuration of DocuWare product lines.
Support sales, partners and team members in quoting project requirements and respond to service requests.
Provide pre and post-sale support to customers and internal teams.
Plan and manage multiple projects simultaneously.
Deliver projects on time and with required documentation.
Assist the end user community as the key subject matter expert relating to DocuWare’s product suite.
Experience with Accounts payable processes a plus
Your background
Education / Experience
Bachelor’s Degree in Computer Science or MIS.
OR certification in an Information Technology discipline from an accredited Technology Institute.
OR 4+ years in a related software implementation or support role.
Personal / Communication
Excellent oral and written communication skills are a must.
High level of teaching skills: Ability to transfer knowledge through practical demonstration in a group session.
Demonstrate a high level of customer service professionalism.
High level of motivation working in a team environment.
Willingness and ability to travel up to 25% of the time.
This role requires excellent communication skills. You must be able to interact professionally and communicate effectively.
Technical
Competency with Microsoft Windows operating systems at an administration level.
Experience with databases such as MSSQL, MySQL and Oracle.
Familiar with networking protocols such as TCP/IP and HTTP.
Knowledge of VB Scripting a plus.
Ability to analyze log files as a result of product testing.
Project Management skills
Your benefits
Competitive salary; commensurate with experience
Medical, Dental, 401K, Profit Sharing, Paid Time Off, International Collaboration, Growth opportunities, Company outings, biweekly lunches, and more.
After qualifying period, bonus scheme designed to boost salary
Your hiring partner
Vanessa Quiroga
Manager Recruitment & Talent Development
Here you can find us
4 Crotty Lane, Suite 200 | New Windsor, NY 12553
Apply for this position
About us
We provide digital document management and automated workflows to organizations of any size and across all major industries. We are on a mission to simplify work in a world of complex information by empowering organizations to digitize and automate processes. Our company culture is shaped by four core values. We are: Customer Centric, Passionate, Dynamic, & Decent",3.6,"Docuware Corporation
3.6","New Windsor, NY",51 to 200 Employees,1988,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),Private,1,37,72,54.5,Docuware Corporation,32,NY,1,0,0,1
Senior Software Engineer,$56K-$117K (Glassdoor Est.),"Are you looking for a high energy, strategic, and fast-paced position as a Senior Software Engineer? Join Relias, the company changing lives throughout the world by helping healthcare organizations improve their clinical outcomes!

Relias provides software and services to more than 10,000 healthcare organizations and providers, addressing the primary concerns of recruiting, retention, risk mitigation, compliance, and the move from fee for service to value-based reimbursements. In addition to unrivaled content, Relias offers pre-hire assessments and in-depth analytics that allows for the demonstration of skill and performance, resulting in better patient, resident and client outcomes, as well as better financial results. We are passionate about our product and our clients; what we deliver is truly something you can be proud to represent. Our clients think so, too – we proudly boast a retention rate close to 100%!

WHAT CAN RELIAS OFFER YOU?

Competitive base salary
Fantastic health and wellness benefits package, including an outstanding 401k match, an unlimited PTO program, and paid holidays, including your birthday!
Comprehensive two-week onboarding program – a great introduction to our company, customers and culture!
Growth and career advancement opportunities!
Integrated 15 acquisitions over the last five years
20%+ annual employee promotion and transfer rate

WHAT YOU’LL BE DOING:

Full-stack software development on Relias' learning platform
Working closely with other developers, QA, and product owners on a highly functional agile team
Leading and mentoring a team of junior and mid-level developers and test engineers
Ensuring system health and fixing defects
Solving difficult problems through research and innovation
Contributing to the department's wiki knowledge base

WHO YOU’VE GOT TO BE:

Eager to building things and to ship software
Hungry to learn (and teach) new technologies and frameworks
Passionate about quality and seeing things to completion
Experienced leading code reviews and coaching others
A positive, fun team member

YOU’VE GOT WHAT IT TAKES IF YOU HAVE:

A Bachelor’s degree, or equivalent experience
5+ years of .NET Core, C#
3+ year of a modern JavaScript framework (Angular, React, Knockout, etc.)
3+ years of SQL Server
Experience with ASP.NET Web Forms
Experience with Agile methodology
Experience with Microsoft Azure
Experience releasing software / knowledge of the SDLC process
Passion for setting standards of system design and service-oriented architecture
Ability to influence and lead team
Desire to mentor associate and mid-level software engineers
Strong communication and interpersonal skills

IT WOULD BE NICE IF YOU HAVE:

Redis, Service Bus, Web API, WCF, ASP.Net MVC
Familiarity with privacy and security best practices
Passion for learning - remaining current on new technologies
Desire for continuous improvement - determining process improvements, best practices, and develop new processes.
Experience working in close partnership with cross-functional teams and management.

INDHP

Relias is an Equal Opportunity Employer and a Drug-Free workplace

Company: Relias LLC

Country: United States of America

State/Region: North Carolina

City: Morrisville

Postal Code: 27560

Job ID: 98802

[[customQuickApply]]98802Relias LLC",2.6,"Relias
2.6","Morrisville, NC",501 to 1000 Employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),Private,1,56,117,86.5,Relias,8,NC,0,0,1,1
Junior Software Engineer,$38K-$85K (Glassdoor Est.),"Are you looking for a new challenge? Do you enjoy supporting the Intel Community? Join TMA to help protect the security of our nation.

TMA is seeking Junior Software Engineers in the Chantilly, VA area. Join our team of overachievers supporting the Intel Community to help protect the security of our nation, specifically in the realm of space protection. Learn from Subject Matter Experts in an interesting product domain. Work on a team of exceptional software engineers with low turnover. We use agile methodologies to coordinate our five scrum teams, keeping what works and changing what doesn't. Candidates should be innovative, passionate and ready for a challenge. Candidates will participate in all aspects of lifecycle application development including technical exchange meetings, whitepapers, design, code, test, debug, configuration management, and production support for Java applications.

Required Qualifications:

· Candidates must have proficient Java experience

· BS in Computer Science, Computer Engineering, or related technical degree

· Candidates must possess excellent communication skills and be able to work in a dynamic team environment developing solutions from both written and spoken requirements

· Must be willing to be submitted for a TS/SCI security clearance with CI polygraph

Desired Qualifications and Experience:

· 1-3 years of JavaScript and Web Development

· Experience with front end technologies such as Angular, Jasmine, HTML5, CSS, SCSS, JavaScript, jQuery

· Experience with Node.js and NPM

· Experience with system monitoring technologies such as Munin, Nagios, Elastic Stack (ELK - Elasticsearch, Logstash, Kibana, and Beats)

· Knowledge of relational database fundamentals

· Familiarity with Git

· Experience with Java development tools such as VS Code, Eclipse IDE, and Maven

· Experience with continuous integration technologies such as Jenkins or Bamboo

· Experience with Jira

· Knowledge of Agile development process

· Strong background in math, science, and/or aerospace

· Understanding of geospatial concepts

· Security+ certification

WHO WE ARE
Headquartered in Chantilly, VA and founded in 1993, TMA is a leading services and solutions provider to the Department of Defense and the Intelligence Community.

Our Mission:
We live in a world of infinite problems. We provide rapid supportable solutions engineered to meet mission objectives and proceed to the next challenge.
We collaborate with our customers. Our innovative engineers hunt for the best mission solution without requiring ownership of the answer. Our commitment to the customer is unassailable
We’re at war with proprietary solutions that narrow our customers’ options and stunt progress. Our solutions ensure the community can leverage, extend, and integrate next generation capabilities delivering sustained relevancy.
We believe in a work hard/play hard culture. Our empowered employees solve complex problems every day wearing blue jeans and polos, because the only thing that matters is getting the right answer for the mission.
We are making the world a better place.
Our capabilities include:
National Tactical Integration, Mission Building and Analysis, Digital Signal Processing, System Integration, Network Engineering, Big Data Analytics, Secure Cloud, and Edge Computing.

Specific areas of expertise include: Software Development, DSP& Exploitation, Network Engineering, and Mission Critical Support Operations.TMA was named as one of the 2019 Best Places to Work in Virginia and is a back-to-back winner of Washingtonian Magazine’s 50 Great Places to Work, as well as a 2017 winner of Washington Post Top workplaces in the DC area.

TMA is committed to the welfare and success of our employees; we strive to ensure that our culture, work products, and partnerships represent our Core Values of: Innovation, Collaboration, Integrity, and Commitment. Come grow with us. Learn more at http://tmamission.com/

TMA is an Equal Opportunity/Affirmative Action Employer committed to employing and retaining a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with a disability. US Citizenship is required as this position requires candidate to obtain and/or maintain a government security clearance.

EEO Employer Minority/Female/Disabled/Protected Veteran.",3.8,"TMA
3.8","Colorado Springs, CO",51 to 200 Employees,1993,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),Private,1,38,85,61.5,TMA,27,CO,1,0,0,0
eCommerce B2B Integration Lead Engineer.,$45K-$77K (Glassdoor Est.),"Overview*
The priority of the Lead EDI Coordinator is to ensure that all EDI transmissions are built properly and delivered accurately to our customers. Additionally, they will resolve technical issues in products and enhancing the design of solutions in our environment. Candidates should be experienced in X12 formats, and very comfortable with various forms of communication such as AS2, VAN, SFTP, etc., with strong problem-solving skills, and a good understanding of MS SQL.
Responsibilities*
Build workflows to ensure EDI data is properly audited against the customer’s data
Help build and architect the move of our legacy EDI system to Dell Boomi
Eliminate of customer chargebacks due to EDI problems
Help ensure timely and accurate of EDI data
Onboarding new customers to our EDI platform
Lead small team through completion of EDI related projects
Troubleshoot problems, diagnose, and resolve product issues
Design and Build automation processes to take care of common user issues
Analyze requirements to assist in the creation, grooming, and estimating of user stories
Observe and follow design patterns and coding standards
Build and enhance new services and applications using C#, .NET Core, and JavaScript
Participate in code reviews to ensure code quality
Collaborate with others to ensure best practices are followed
Qualifications*
Qualifications:
5+ years experience with EDI/X12 documents (850, 846, 810, and 856 documents)
Expertise in EDI Implementation with full life cycle support
XSLT experience
Experience with Microsoft Visual Studio and Microsoft SQL Server
Strong communication skills
Preferred:
Experience with git for source control
Atlassian product Suite, Service Desk, Jira, OpsGenie experience.
Experience with monitoring platforms like New Relic.
Experience working with RESTful APIs
Experience designing and developing in .NET
Accomplished in C# and one or more JavaScript frameworks
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Employee Discount
Flexible Schedule
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Tuition Reimbursement
Vision Insurance",2.9,"Trademark Global LLC
2.9","Lorain, OH",1 to 50 Employees,2000,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,Private,0,45,77,61.0,Trademark Global LLC,20,OH,1,0,1,1
Senior Software Engineer,$42K-$92K (Glassdoor Est.),"Our REDI Execution Management System focuses on bringing a new level of efficiency, transparency and openness to the trading process by building a collaborative community of investors, brokers, technology firms and content providers.Through our modular, end-to-end trade management platform users can execute everything from simple single stock trades to complex strategies across markets and time zones and manage your risk throughout the trade lifecycle. Access our growing network of over 150 execution brokers to route Equities, Futures or Options orders globally, as well as dozens of integrated prime and clearing brokers through our expanding suite of middle office tools. Collaborate with our broker and vendor partners, who are able to efficiently plug into our platform to reach our community. REDI was among the industry's first providers of trading technology and has pushed the state-of-the-art forward for more than 20 years. We're building on our history of innovation to become an open, industry-backed ecosystem for the entire trading community.

As a Server-Side Developer at Refinitiv, you can find a broad variety of projects focused on low latency, high-speed financial applications written in multiple languages and on various platforms. From C++ to Java, Linux to Windows, back end database to inter-process communication, you should be confident in all tiers and have an ability to learn new skills as we evolve with the changing technology landscape.

Successful server-side developers take ownership of the products that we ship, and, as such, are expected to work with Product Management to determine business requirements, come up with high-level designs, evaluate build vs buy options, work with QA in testing, and deliver and maintain the applications in production. At Refinitiv, we value the ability to think and learn over simply being proficient in a specific language, as this allows for to be agile and adapt as needed. If this excites you, we are happy you are reading this description and invite you to continue reading!

Knowledge & Skill :
• Specialist, experienced professional with extensive knowledge and skills gained through wide-ranging experiences in a field that requires diverse practices or procedures.
• Recognized expert in their functional area or geography
• Deep knowledge of complex product, market and function in own area
• In-depth understanding of a Business Unit or function
• Works on issues of a diverse scope where analysis of situations requires skills and understanding of current industry trends

Scope of Impact :
• Leads significant projects, programs and business initiatives, demonstrating creativity and ingenuity
• Determines work priorities based on general direction from managers
• May manage budget for projects or programs within area
• Contributes to the development of new principles and concepts and Business Unit strategy
• Provides specialist advice to middle and senior management to resolve complex issues.

Strategic Planning & Decision Making :
• Applies a broad perspective to identify innovative solutions
• Anticipates customer needs; assesses requirements and identifies new solutions
• Solves complex problems which may be multidisciplinary or require an in-depth evaluation of variable factors
• Makes decisions in non-routine situations applying considerable interpretative thinking

Required Qualifications:
BS/MS in Computer Science/Computer Engineering or equivalent work experience
3+ years of Core Java experience
Proficient in multiple platforms and operating systems (e.g. Windows, Linux)
Experience working in a Test-driven development
Proficiency with Object-oriented design and design patterns (e.g. Dependency Injection, Strategy, Factory)
Hands-on experience with Build and Deploy frameworks such as Gradle, Jenkins, Artifactory, Chef, Docker
Able to understand SQL regardless of the database (e.g.. DB2, Sybase, SQL Server)
Familiarity with source control (e.g. Git/GitFlow, SVN)
Work well in a team
Strong documentation and presentation skills
Critical thinking and problem-solving skills
Ability to design and defend solutions to management

Preferred Qualifications:

Trading domain knowledge (stock market, FIX, trading engines, exchanges, etc)
Agile software development process (daily huddle, sprint planning, retrospectives, etc)
Inter-process communication (TCP/IP, UDP/multicast, etc)
Testing frameworks (GoogleTest, Junit, mockito)
Some C++ skills (e.g. memory management, Boost, STL, etc.) preferred

We care about benefits too.

We support our colleagues’ wellbeing with inclusive benefits. So that's support for physical, financial, mental and environmental health, paid time off to volunteer, consumer discounts & savings and so much more. All of which are tailored to your needs and may vary by location. For more details talk to your recruiter.

Our fast paced and supportive environment is only possible due to determined, autonomous problem solvers who love our high performance culture. And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals. So we seek hardworking, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Refinitiv is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

Refinitiv makes reasonable accommodations for applicants and employees with disabilities. If an accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact us to request an accommodation.

Be the breakthrough, activate your future and shape ours.",3.6,"Refinitiv
3.6","Saint Louis, MO",10000+ Employees,2018,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),Private,2,42,92,67.0,Refinitiv,2,MO,1,0,1,1
Senior Software Engineer,$72K-$147K (Glassdoor Est.),"Introduction
The Senior Software Engineer position is a great fit for a self-starter with strong organizational and time management skills looking to design, develop, and maintain Edgenuity`s software and tools. You are self-directed and able to handle multiple priorities with demanding timeframes, and are excited about helping students achieve their full potential by designing and developing software and tools to support Edgenuity`s core online learning system.
About Edgenuity

Imagine a world where all children have an equal opportunity to acquire an excellent education. That`s the Edgenuity mission. Founded in 1998, today Edgenuity partners with schools to provide award-winning curriculum to millions of students in school districts across the U.S., and we`re growing! As the leading provider of digital curriculum and instructional services, Edgenuity empowers students, educators and school districts to achieve success in a variety of online and blended learning models.

A Day in the Life as a Senior Software Engineer

As a Senior Software Engineer, you participate in all phases of software development, from refining and designing user stories, to writing code, debugging, testing, and assisting in the deployment of code to our customers. You use your excellent verbal and written communication skills to present and problem solve issues facing our customers, both external and internal to the company. Daily, you work collaboratively with colleagues and staff to create a high-quality results-driven, team-oriented environment.

Qualifications
Bachelor`s Degree in computer science or a related field or equivalent practical experience
6+ years` experience as a software engineer using C# & .Net
Experience developing public facing websites or complex web applications
Knowledge in HTML, HTML5, MVC, JavaScript, CSS, XML, Restful web services, AJAX, and OOD
Experience with ReactJS and Redux, as well as MongoDB and SQL
Familiarity with ASP .NET WebForms, BitBucket, and Unit Testing/Mocking preferred
Understanding of Agile methodology
Experience in AWS
Experience with 3rd party integrations
Compensation

We offer a very competitive salary and excellent benefits choices, including Paid Time Off, 12 paid holidays, 10 health, 6 dental, and 4 vision plans to choose from and a variety of ancillary benefits. We contribute to an employee`s HSA account and 401(k), and provide at no cost to employees` life insurance, short-term disability, and long-term disability. We invest in training and development to support your professional growth and provide a casual work environment. But even more importantly, we`re a great place to work!

Edgenuity is an Equal Opportunity Employer committed to a diverse workforce, providing equal employment & advancement opportunities to all individuals.",3.6,"Edgenuity
3.6","Scottsdale, AZ",501 to 1000 Employees,1998,Company - Private,K-12 Education,Education,Unknown / Non-Applicable,Private,0,72,147,109.5,Edgenuity,22,AZ,1,0,1,1
